ISBN,Title,Author First Name,Author Last Name,Trans First Name,Trans Last Name,Publisher,Genre,Price,Pub Month,Pub Year,Language,Country,Other First Name,Other Last Name,Other Type,Author Gender,Translator Gender
9780857422125,"Fly Away, Pigeon",Melinda Nadj,Abonji,Tess,Lewis,Seagull Books,Fiction,27.5,Nov,2014,German,Switzerland,,,,Female,Female
9780983139201,And the Hippies Came,Manuel,Abreu Adorno,Rafael Franco,Steeves,7Vientos,Fiction,18.95,June,2013,Spanish,Puerto Rico,,,,Male,Male
9789774168475,All the Battles,Maan,Abu Taleb,Robin,Moger,American University at Cairo,Fiction,17.95,Sept,2017,Arabic,Jordan,,,,Male,Male
9789992179055,Arch and the Butterfly,Mohammed,Achaari,Aida,Bamia,Bloomsbury,Fiction,19.99,Jan,2015,Arabic,Morocco,,,,Male,Female
9781620400814,Pig's Foot,Carlos,Acosta,Frank,Wynne,Bloomsbury,Fiction,26.0,Jan,2014,Spanish,Cuba,,,,Male,Male
9781901285758,Cliffs,Olivier,Adam,Sue,Rose,Pushkin Press,Fiction,14.95,Jan,2008,French,France,,,,Male,Female
9780975444474,Laundry,Suzane,Adam,Becka Mara,McKay,Autumn Hill,Fiction,16.95,Apr,2008,Hebrew,Romania,,,,Female,Female
9781564789532,Encounter,Gabriela,Adamesteanu,Alistair Ian,Blyth,Dalkey Archive,Fiction,17.0,Apr,2016,Romanian,Romania,,,,Female,Male
9780810126374,Wasted Morning,Gabriela,Adamesteanu,Patrick,Camiller,Northwestern University Press,Fiction,27.95,Aug,2011,Romanian,Romania,,,,Female,Male
9789491425158,Khatyn,Ales,Adamovich,Glenys,Kozlov,Glagoslav Publications,Fiction,21.5,May,2012,Russian,Belarus,Frances Longman,Sharon McKee,Translator,Male,Female
9780893049911,My Voice Seeks You,Annalisa,Addolorato,Maria,Bennett,Cross-Cultural Communications,Poetry,20.0,Sept,2013,Italian,Italy,,,,Female,Female
9781400066735,Journey,H. G.,Adler,Peter,Filkins,Random House,Fiction,26.0,Nov,2008,German,Germany,,,,Male,Male
9781400068517,Panorama,H. G.,Adler,Peter,Filkins,Random House,Fiction,26.0,Jan,2011,German,Germany,,,,Male,Male
9780812993066,Wall,H. G.,Adler,Peter,Filkins,Random House,Fiction,30.0,Dec,2014,German,Germany,,,,Male,Male
9780525952893,Absent One,Jussi,Adler-Olsen,K.E.,Semmel,Dutton,Fiction,26.95,Aug,2012,Danish,Denmark,,,,Male,Male
9780525954897,Alphabet House,Jussi,Adler-Olsen,Steve,Schein,Dutton,Fiction,27.95,Feb,2015,Danish,Denmark,,,,Male,Male
9780525954002,Conspiracy of Faith,Jussi,Adler-Olsen,Martin,Aitkin,Dutton,Fiction,26.95,May,2013,Danish,Denmark,,,,Male,Male
9780525954941,Hanging Girl,Jussi,Adler-Olsen,William,Frost,Dutton,Fiction,28.0,Sept,2015,Danish,Denmark,,,,Male,Male
9780525952480,Keeper of Lost Causes,Jussi,Adler-Olsen,Tiina,Nunnally,Dutton,Fiction,25.95,Aug,2011,Danish,Denmark,,,,Male,Female
9780525954026,Marco Effect,Jussi,Adler-Olsen,Martin,Aitken,Dutton,Fiction,27.95,Sept,2014,Danish,Denmark,,,,Male,Male
9780525954019,Purity of Vengeance,Jussi,Adler-Olsen,Martin,Aitkin,Dutton,Fiction,26.95,Dec,2013,Danish,Denmark,,,,Male,Male
9780525954958,Scarred Woman,Jussi,Adler-Olsen,William,Frost,Dutton,Fiction,28.0,Sept,2017,Danish,Denmark,,,,Male,Male
9781611090284,Brummstein,Peter,Adolphsen,Charlotte,Barslund,AmazonCrossing,Fiction,8.95,July,2011,Danish,Denmark,,,,Male,Female
9781596922877,Machine,Peter,Adolphsen,Charlotte,Barslund,MacAdam Cage,Fiction,15.0,Apr,2008,Danish,Denmark,,,,Male,Female
9780300197648,Concerto Al-Quds,,Adonis,Khaled,Mattawa,Yale University Press,Poetry,25.0,Nov,2017,Arabic,Syrian Arab Republic,,,,Male,Male
9781934414088,Mihyar of Damascus,,Adonis,Adan,Haydar,BOA Editions,Poetry,16.0,July,2008,Arabic,Syrian Arab Republic,,,,Male,Male
9781584980599,Summer's End,Adalet,Agaoglu,Figen,Bingul,Talisman House,Fiction,18.95,Mar,2008,Turkish,Turkey,various,various,Translator,Female,Female
9789381017241,Seventeen,Anita,Agnihotri,Arunava,Sinha,Zubaan,Fiction,19.0,July,2016,Bengali,India,,,,Female,Male
9781592642144,To This Day,S. Y.,Agnon,Hillel,Halkin,Toby Press,Fiction,24.95,Apr,2008,Hebrew,Israel,,,,Male,Male
9781935210870,Harbors of Light,Marjorie,Agosin,E. M.,O'Connor,White Pine,Poetry,16.0,Sept,2016,Spanish,Chile,,,,Female,Female
9780974888170,Light of Desire,Marjorie,Agosin,Lori Marie,Carlson,Swan Isle Press,Poetry,28.0,Jan,2010,Spanish,Chile,,,,Female,Female
9780983322092,White Islands,Marjorie,Agosin,Jacqueline,Nanfito,Swan Isle Press,Poetry,20.0,Aug,2016,Spanish,Chile,,,,Female,Female
9781933254685,Chinese Notebook,Demosthenes,Agrafiotis,John,Sakkis,Ugly Duckling,Poetry,17.0,Oct,2010,Greek,Greece,Angelos,Sakkis,Translator,Male,Male
9780942996708,Maribor,Demosthenes,Agrafiotis,John,Sakkis,Post-Apollo Press,Poetry,15.0,Feb,2010,Greek,Greece,Angelos,Sakkis,Translator,Male,Male
9781609640507,"""now, 1/3"" & thepoem",Demosthenes,Agrafiotis,John,Sakkis,BlazeVOX,Poetry,16.0,May,2012,Greek,Greece,Angelos,Sakkis,Translator,Male,Male
9780924047596,Poems of Vkram Babu,Jesus,Aguado,Electa,Arenal,Host Publications,Poetry,12.0,Jan,2009,Spanish,Spain,Beatrix,Gates,,Male,Female
9781416573517,Book of Chameleons,Jose Eduardo,Agualusa,Daniel,Hahn,Simon & Schuster,Fiction,12.0,June,2008,Portuguese,Angola,,,,Male,Male
9780914671312,General Theory of Oblivion,Jose Eduardo,Agualusa,Daniel,Hahn,Archipelago,Fiction,18.0,Dec,2015,Portuguese,Angola,,,,Male,Male
9781934851456,Field Guide,Dario Jaramillo,Agudelo,Don,Share,Marick Press,Poetry,14.95,Oct,2012,Spanish,Colombia,,,,Male,Male
9781503949263,Against the Inquisition,Marcos,Aguinis,Carolina,De Robertis,AmazonCrossing,Fiction,14.95,Apr,2018,Spanish,Argentina,,,,Male,Female
9781609450014,From the Land of the Moon,Milena,Agus,Ann,Goldstein,Europa Editions,Fiction,15.0,Jan,2011,Italian,Italy,,,,Female,Female
9780195473872,Penitence of Nashooh and The Story of Nazir Ahmad,Nazir,Ahmad,Mirza,Farhatullah,Oxford University Press,Fiction,24.0,Jan,2008,Urdu,Pakistan,,,,Male,Male
9781496706218,Falling,Simona,Ahmstedt,Alice,Menzies,Kensington,Fiction,15.0,Aug,2017,Swedish,Sweden,,,,Female,Female
9781250103185,Victim without a Face,Stefan,Ahnhem,Rachel,Willson-Broyles,Minotaur,Fiction,27.99,Sept,2016,Swedish,Sweden,,,,Male,Female
9781496706195,All In,Simona,Ahrnstedt,Tara,Chace,Kensington,Fiction,25.0,July,2016,Swedish,Sweden,,,,Female,Female
9780857424761,Bad Words,Ilse,Aichinger,Uljana,Wolf,Seagull Books,Fiction,24.5,Nov,2017,German,Austria,Christian,Hawkey,Translator,Female,Both
9781476775616,Woman of the Dead,Bernhard,Aichner,Anthea,Bell,Scribner,Fiction,25.0,Aug,2015,German,Austria,,,,Male,Female
9781931883382,Baboon,Naja Marie,Aidt,Denise,Newman,Two Lines Press,Fiction,12.95,Oct,2014,Danish,Denmark,,,,Female,Female
9781940953168,"Rock, Paper, Scissors",Naja Marie,Aidt,K. E.,Semmel,Open Letter,Fiction,16.95,Aug,2015,Danish,Denmark,,,,Female,Male
9780819569455,Three Science Fiction Novellas,J.-H. Rosny,Aine,Daniele,Chatelain,Wesleyan University Press,Fiction,35.0,Jan,2011,French,Belgium,George,Slusser,,Male,Both
9781503945838,Room 702,Paloma,Ainsa,Kit,Maude,AmazonCrossing,Fiction,14.95,Aug,2015,Spanish,Spain,,,,Female,Male
9780811221108,Conversations,Cesar,Aira,Katherine,Silver,New Directions,Fiction,13.95,June,2014,Spanish,Argentina,,,,Male,Female
9780811221085,Dinner,Cesar,Aira,Katherine,Silver,New Directions,Fiction,13.95,Oct,2015,Spanish,Argentina,,,,Male,Female
9780811219105,"Ema, the Captive",Cesar,Aira,Chris,Andrews,New Directions,Fiction,13.95,Dec,2016,Spanish,Argentina,,,,Male,Male
9780811217422,Ghosts,Cesar,Aira,Chris,Andrews,New Directions,Fiction,12.95,Feb,2009,Spanish,Argentina,,,,Male,Male
9780811219082,Linden Tree,Cesar,Aira,Chris,Andrews,New Directions,Fiction,13.95,Apr,2018,Spanish,Argentina,,,,Male,Male
9780811218788,Literary Conference,Cesar,Aira,Katherine,Silver,New Directions,Fiction,10.0,May,2010,Spanish,Argentina,,,,Male,Female
9780811221122,Little Buddhist Monk & The Proof,Cesar,Aira,Nick,Caistor,New Directions,Fiction,15.95,May,2017,Spanish,Argentina,,,,Male,Male
9780811219990,Miracle Cures of Dr. Aira,Cesar,Aira,Katherine,Silver,New Directions,Fiction,14.95,Oct,2012,Spanish,Argentina,,,,Male,Female
9780811220283,Musical Brain and Other Stories,Cesar,Aira,Chris,Andrews,New Directions,Fiction,22.95,Mar,2015,Spanish,Argentina,,,,Male,Male
9780811219129,Seamstress and the Wind,Cesar,Aira,Rosalie,Knecht,New Directions,Fiction,12.95,June,2011,Spanish,Argentina,,,,Male,Female
9780811219112,Shantytown,Cesar,Aira,Chris,Andrews,New Directions,Fiction,13.95,Nov,2013,Spanish,Argentina,,,,Male,Male
9780811217415,Varamo,Cesar,Aira,Katharine,Silver,New Directions,Fiction,12.95,Feb,2012,Spanish,Argentina,,,,Male,Female
9786029144222,"Jazz, Perfume and the Incident",Seno Gumira,Ajidarma,Gregory,Harris,Lontar,Fiction,18.0,Jan,2013,Indonesian,Indonesia,,,,Male,Male
9781564787002,Empty Streets,Michal,Ajvaz,Andrew,Oakland,Dalkey Archive,Fiction,19.95,Mar,2016,Czech,Czech Republic,,,,Male,Male
9781564785787,Golden Age,Michal,Ajvaz,Andrew,Oakland,Dalkey Archive,Fiction,14.95,Apr,2010,Czech,Czech Republic,,,,Male,Male
9781564784919,Other City,Michal,Ajvaz,Gerald,Turner,Dalkey Archive,Fiction,13.95,June,2009,Czech,Czech Republic,,,,Male,Male
9781628971064,Vano and Niko,Erlom,Akhvlediani,Mikheil,Kakabadze,Dalkey Archive,Fiction,15.95,Feb,2015,Georgian,Georgia,,,,Male,Male
9781584980964,What Have You Carried Over?,Gulten,Akin,various,various,Talisman House,Poetry,17.95,Jan,2014,Turkish,Turkey,,,,Female,Both
9780812975147,Sister Pelagia and the Black Monk,Boris,Akunin,Andrew,Bromfield,Random House,Fiction,14.0,May,2008,Russian,Russia,,,,Male,Male
9780812975154,Sister Pelagia and the Red Cockerel,Boris,Akunin,Andrew,Bromfield,Random House,Fiction,14.0,Aug,2009,Russian,Russia,,,,Male,Male
9780812978605,Special Assignments,Boris,Akunin,Andrew,Bromfield,Random House,Fiction,14.0,Feb,2008,Russian,Russia,,,,Male,Male
9780802126542,State Counsellor,Boris,Akunin,Andrew,Bromfield,Mysterious Press,Fiction,25.0,July,2017,Russian,Russia,,,,Male,Male
9789774165900,"Earth Weeps, Saturn Laughs",Abdulaziz,al Farsi,Nancy,Roberts,American University at Cairo,Fiction,17.95,Feb,2013,Arabic,Oman,,,,Male,Female
9781859643105,Land without Jasmine,Wajdi,al-Ahdal,William Maynard,Hutchins,Garnet Publishing,Fiction,12.95,Sept,2012,Arabic,Yemen,,,,Male,Male
9789774164811,Judgment Day,Rasha,al-Ameer,Jonathan,Wright,American University at Cairo,Fiction,24.95,Jan,2012,Arabic,Lebanon,,,,Female,Male
9789774165665,Life on Hold,Fahd,al-Atiq,Jonathan,Wright,American University at Cairo,Fiction,15.95,Sept,2012,Arabic,Saudi Arabia,,,,Male,Male
9789774164620,Traveler and the Innkeeper,Fadhil,al-Azzawi,William,Hutchins,American University at Cairo,Fiction,15.95,Apr,2011,Arabic,Iraq,,,,Male,Male
9780292763074,Who's Afraid of Meryl Streep?,Rashid,al-Daif,Paula,Haydar,University of Texas,Fiction,19.95,Oct,2014,Arabic,Lebanon,Nadine,Sinno,Translator,Male,Female
9789774165467,Book of Epiphanies,Gamal,al-Ghitani,Farouk,Wahab,American University at Cairo,Fiction,17.95,Sept,2012,Arabic,Egypt,,,,Male,Male
9789992179192,Traces,Gamal,Al-Ghitani,Nadar,Uthman,Bloomsbury Qatar,Fiction,19.99,Nov,2015,Arabic,Egypt,,,,Male,Male
9781882295890,Hagar Before the Occupation/Hagar After the Occupation,Amal,al-Jubouri,Rebecca Gayle,Howell,Alice James Books,Poetry,17.5,Nov,2011,Arabic,Iraq,Husam,Qaisi,Translator,Female,Both
9780292754751,"New Waw, Saharan Oasis",Ibrahim,Al-Koni,William,Hutchins,University of Texas,Fiction,21.95,Jan,2014,Arabic,Libya,,,,Male,Male
9780292723351,Puppet,Ibrahim,Al-Koni,William,Hutchins,University of Texas,Fiction,16.0,Nov,2010,Arabic,Libya,,,,Male,Male
9781477302521,Scarecrow,Ibrahim,Al-Koni,William,Hutchins,University of Texas,Fiction,21.95,Aug,2015,Arabic,Sahara,,,,Male,Male
9780815610342,Sleepless Eye,Ibrahim,al-Koni,Roger,Allen,Syracuse University Press,Poetry,14.95,Mar,2014,Arabic,Libya,,,,Male,Male
9780814771945,"Epistle of Forgiveness, Volume Two",Abu l-'Ala',al-Ma'arri,Geert Jan,Van Gelder,New York University Press,Fiction,35.0,Mar,2014,Arabic,Syrian Arab Republic,,,,Male,Male
9781846590917,Lady from Tel Aviv,Raba'i,al-Madhoun,Elliott,Colla,Telegram,Fiction,14.95,May,2014,Arabic,"Palestinian Territory, Occupied",,,,Male,Male
9789992194720,Corsair,Abdulaziz,Al-Mahmoud,Amira,Noweira,Bloomsbury,Fiction,10.0,Feb,2013,Arabic,Qatar,,,,Male,Female
9789774166396,Muniras Bottle,Yousef,al-Mohaimeed,Anthony,Calderbank,American University at Cairo,Fiction,16.95,May,2010,Arabic,Saudi Arabia,,,,Male,Male
9789992179161,Where Pigeons Don't Fly,Yousef,Al-Mohaimeed,Robin,Moger,Bloomsbury,Fiction,12.95,July,2015,Arabic,Saudi Arabia,,,,Male,Male
9781479813889,"What 'Isa ibn Hisham Told Us, or, A Period of Time: Volume One",Muhammad,al-Muwaylihi,Roger,Allen,Library of Arabic Literature,Fiction,40.0,July,2015,Arabic,Egypt,,,,Male,Male
9781479862252,"What 'Isa ibn Hisham Told Us, or, A Period of Time: Volume Two",Muhammad,al-Muwaylihi,Roger,Allen,Library of Arabic Literature,Fiction,40.0,July,2015,Arabic,Egypt,,,,Male,Male
9780815610526,All Faces but Mine,Samih,Al-Qasim,Abdulwahid,Lu'lu'a,Syracuse University Press,Poetry,24.95,Oct,2015,Arabic,"Palestinian Territory, Occupied",,,,Male,Male
9781780372723,Monkey at the Window,Al-Saddiq,Al-Raddi,Sarah,Maguire,Bloodaxe,Poetry,25.0,Feb,2017,Arabic,Sudan,Mark,Ford,Translator,Male,Both
9789774166440,Dates on My Fingers,Muhsin,al-Ramli,Luke,Leafgren,American University at Cairo,Fiction,16.95,May,2014,Arabic,Iraq,,,,Male,Male
9789774162961,"East Winds, West Winds",Mahdi Issa,al-Saqr,Paul,Starkey,American University at Cairo,Fiction,24.95,May,2010,Arabic,Iraq,,,,Male,Male
9781611861617,Desert Sorrows,Tayseer,Al-Sboul,Nesreen,Akhtarkhavari,Michigan State University Press,Poetry,19.95,Apr,2015,Arabic,Jordan,,,,Male,Female
9781611862102,You as of Today My Homeland,Tayseer,al-Sboul,Nesreen,Akhtarkhavari,Michigan State University Press,Fiction,21.95,July,2016,Arabic,Jordan,,,,Male,Female
9780814729373,"Leg over Leg, Volume 1",Ahmad Faris,al-Shidyaq,Humphrey,Davies,Library of Arabic Literature,Fiction,35.0,Aug,2013,Arabic,Lebanon,,,,Male,Male
9780814769843,"Leg over Leg, Volume 2",Ahmad Faris,al-Shidyaq,Humphrey,Davies,Library of Arabic Literature,Fiction,35.0,Aug,2013,Arabic,Lebanon,,,,Male,Male
9781479842247,"Leg over Leg, Volume 3",Ahmad Faris,al-Shidyaq,Humphrey,Davies,Library of Arabic Literature,Fiction,40.0,Aug,2014,Arabic,Lebanon,,,,Male,Male
9781479875757,"Leg over Leg, Volume 4",Ahmad Faris,al-Shidyaq,Humphrey,Davies,Library of Arabic Literature,Fiction,40.0,Aug,2014,Arabic,Lebanon,,,,Male,Male
9780983868316,Diesel,Thani,Al-Suwaidi,William,Hutchins,Antibookclub,Fiction,15.0,July,2012,Arabic,United Arab Emirates,,,,Male,Male
9789774164880,Brooklyn Heights,Miral,al-Tahawy,Samah,Selim,American University at Cairo,Fiction,22.95,Jan,2012,Arabic,Egypt,,,,Female,Female
9781937385088,Tibetan Soul,,Alai,Karen,Gernant,MerwinAsia,Fiction,23.0,Jan,2012,Chinese,China,Chen,Zepink,Translator,Male,Both
9781939474537,Backstabbing in Beaujolais,Jean-Pierre,Alaux,Anne,Trager,Le French,Fiction,12.95,Nov,2015,French,France,Noel,Balen,Author,Male,Female
9781939474322,Cognac Conspiracies,Jean-Pierre,Alaux,Sally,Pane,Le French,Fiction,12.95,Feb,2015,French,France,Noel,Balen,Author,Male,Female
9781939474216,Deadly Tasting,Jean-Pierre,Alaux,Sally,Pane,Le French,Fiction,16.95,Oct,2014,French,France,Noel,Balen,Author,Male,Female
9781939474414,Flambe in Armagnac,Jean-Pierre,Alaux,Anne,Trager,Le French,Fiction,12.95,Aug,2015,French,France,Noel,Balen,Author,Male,Female
9781939474049,Grand Cru Heist,Jean-Pierre,Alaux,Anne,Trager,Le French,Fiction,12.95,June,2014,French,France,Noel,Balen,Author,Male,Female
9781939474599,Late Harvest Havoc,Jean-Pierre,Alaux,Sally,Pane,Le French,Fiction,12.95,Dec,2015,French,France,Noel,Balen,Author,Male,Female
9781939474384,Mayhem in Margaux,Jean-Pierre,Alaux,Sally,Pane,Le French,Fiction,12.95,May,2015,French,France,Noel,Balen,Author,Male,Female
9781939474476,Montmartre Mysteries,Jean-Pierre,Alaux,Sally,Pane,Le French,Fiction,12.95,Sept,2015,French,France,Noel,Balen,Author,Male,Female
9781939474056,Nightmare in Burgundy,Jean-Pierre,Alaux,Sally,Pane,Le French,Fiction,12.95,July,2014,French,France,Noel,Balen,Author,Male,Female
9780985320621,Treachery in Bordeaux,Jean-Pierre,Alaux,Anne,Trager,Le French,Fiction,7.99,Mar,2014,French,France,,,,Male,Female
9780300201321,Globetrotter,David,Albahari,Ellen,Elias-Bursac,Yale University Press,Fiction,15.0,Aug,2014,Serbian,Serbia and Montenegro,,,,Male,Female
9781628970906,Learning Cyrillic,David,Albahari,Ellen,Elias-Bursac,Dalkey Archive,Fiction,15.95,Dec,2014,Serbian,Serbia and Montenegro,,,,Male,Female
9780151015023,Leeches,David,Albahari,Ellen,Elias-Bursac,Houghton Mifflin Harcourt,Fiction,24.0,Apr,2011,Serbian,Serbia and Montenegro,,,,Male,Female
9781935210917,Returnings,Rafael,Alberti,Carolyn,Tipton,White Pine,Poetry,18.0,Oct,2016,Spanish,Spain,,,,Male,Female
9781477313060,Hend and the Soldiers,Badriah,Albeshr,Sanna,Dhahir,University of Texas,Fiction,21.95,May,2017,Arabic,Saudi Arabia,,,,Female,Female
9780985612221,Poems of Consummation,Vicente,Aleixandre,Stephen,Kessler,Black Widow Press,Poetry,19.0,Feb,2013,Spanish,Spain,,,,Male,Male
9781590208984,Dove's Necklace,Raja,Alem,Katharine,Halls,Overlook,Fiction,27.95,Oct,2013,Arabic,Saudi Arabia,,,,Female,Female
9781880100622,Fish: A History of One Migration,Peter,Aleshkovsky,Nina,Shevchuk-Murray,Russian Information Services,Fiction,16.0,Sept,2010,Russian,Russia,,,,Male,Female
9781880100806,Stargorod,Peter,Aleshkovsky,Nina,Shevchuk-Murray,Russian Information Services,Fiction,16.0,Feb,2013,Russian,Russia,,,,Male,Female
9781628971354,Two by Aleshkovsky,Yuz,Aleshkovsky,Terry,Myers,Dalkey Archive,Fiction,15.0,July,2018,Russian,Russia,Nataliya,Gavrilova,Translator,Male,Both
9785717201247,Little Man,Liza,Alexandrova-Zorina,Melanie,Moore,Glas,Fiction,15.0,Apr,2014,Russian,Russia,,,,Female,Female
9781934200582,Night and Day,Pierre,Alferi,Kate,Campbell,Fence Books,Poetry,15.0,Nov,2012,French,France,,,,Male,Female
9781859641286,I Stared at the Night of the City,Bakhtiyar,Ali,Kareem,Abdulrahman,Garnet Publishing,Fiction,14.99,June,2016,Kurdish,Iraq,,,,Male,Male
9781590518809,Madonna in a Fur Coat,Sabahattin,Ali,Maureen,Freely,Other Press,Fiction,15.95,Oct,2017,Turkish,Turkey,Alexander,Dawe,Translator,Male,Both
9780924047824,From Unwritten Histories,Eugenijus,Alisanka,H. L.,Hix,Host Publications,Poetry,15.0,Jan,2011,Lithuanian,Lithuania,,,,Male,Male
9789992195192,Days of Ignorance,Laila,Aljohani,Nancy,Roberts,Bloomsbury,Fiction,19.99,Jan,2015,Arabic,Saudi Arabia,,,,Female,Female
9780615843407,"Captain Cap: His Adventures, His Ideas, His Drinks",Alphonse,Allais,Doug,Skinner,Black Scat,Fiction,26.95,Oct,2013,French,France,,,,Male,Male
9781934254165,Babyfucker,Urs,Allemann,Peter,Smith,Les Figues,Fiction,15.0,Jan,2010,German,Switzerland,,,,Male,Male
9781628970166,Old Man and the Bench,Urs,Allemann,Patrick,Greaney,Dalkey Archive,Fiction,13.95,May,2015,German,Switzerland,,,,Male,Male
9780061988240,Island Beneath the Sea,Isabel,Allende,Margaret Sayers,Peden,HarperCollins,Fiction,26.99,Apr,2010,Spanish,Chile,,,,Female,Female
9781501116971,Japanese Lover,Isabel,Allende,Nick,Caistor,Atria,Fiction,28.0,Nov,2015,Spanish,Chile,Amanda,Hopkinson,Translator,Female,Both
9780062105646,Maya's Notebook,Isabel,Allende,Anne,McLean,HarperCollins,Fiction,27.99,Apr,2013,Spanish,Chile,,,,Female,Female
9780062291400,Ripper,Isabel,Allende,Oliver,Brock,HarperCollins,Fiction,28.99,Feb,2014,Spanish,Chile,Frank,Wynne,Translator,Female,Male
9781620407790,Africa39,Ellah Wakatama,Allfrey,Various,Various,Bloomsbury,Fiction,17.0,Oct,2014,Various,Various,,,,Female,Both
9781564786814,Book of Emotions,Joao,Almino,Elizabeth,Jackson,Dalkey Archive,Fiction,19.95,Jan,2012,Portuguese,Brazil,,,,Male,Female
9781628971316,Enigma of Spring,Joao,Almino,Rhett,McNeil,Dalkey Archive,Fiction,15.0,Feb,2016,Portuguese,Brazil,,,,Male,Male
9780924047510,Five Seasons of Love,Joao,Almino,Elizabeth,Jackson,Host Publications,Fiction,15.0,Jan,2008,Portuguese,Brazil,,,,Male,Female
9781564789006,Free City,Joao,Almino,Rhett,McNeil,Dalkey Archive,Fiction,15.0,Sept,2013,Portuguese,Brazil,,,,Male,Male
9780811221764,Fullblood Arabian,Osama,Alomar,C. J.,Collins,New Directions,Poetry,10.95,Jan,2014,Arabic,Syrian Arab Republic,,,,Male,Male
9780811226073,Teeth of the Comb & Other Stories,Osama,Alomar,C. J.,Collins,New Directions,Fiction,13.95,Apr,2017,Arabic,Syrian Arab Republic,,,,Male,Male
9780982786017,Disconnect,Nancy,Alonso,Anne,Fountain,Cubanabooks,Fiction,15.95,Feb,2012,Spanish,Cuba,,,,Female,Female
9781784630331,Art of Keeping Quiet,Rodolfo,Alonso,Katherine,Hedeen,Salt,Poetry,16.95,Oct,2015,Spanish,Argentina,Victor,Rodriguez Nunez,Translator,Male,Both
9789927101779,Bamboo Stalk,Saud,Alsanousi,Jonathan,Wright,Bloomsbury,Fiction,27.0,Sept,2015,Arabic,Kuwait,,,,Male,Male
9781609453770,Endgame,Ahmet,Altan,Alexander,Dawe,Europa Editions,Fiction,18.0,Apr,2017,Turkish,Turkey,,,,Male,Male
